Date ,Worker,Instances,A,C,D,G,O,J,N,Class
June 3-4,26,11,3.636363636,12.72727273,25.45454545,5.454545455,27.27272727,0,25.45454545,6
June 3-4,26,12,0,0,53.84615385,15.38461538,30.76923077,0,0,5
June 3-4,26,13,0,0,42.85714286,42.85714286,14.28571429,0,0,3
June 3-4,26,14,0,6.451612903,61.29032258,12.90322581,12.90322581,6.451612903,0,7
June 3-4,26,15,4,8,66,18,4,0,0,7
June 3-4,26,16,0,0,7.142857143,21.42857143,64.28571429,7.142857143,0,4
June 3-4,26,17,0,0,0,0,100,0,0,4
June 3-4,26,18,0,26.66666667,40,13.33333333,20,0,0,5
June 3-4,26,19,7.142857143,10.71428571,21.42857143,35.71428571,25,0,0,1
June 3-4,26,20,0,26.66666667,20,20,33.33333333,0,0,6
June 3-4,26,21,13.04347826,4.347826087,43.47826087,26.08695652,13.04347826,0,0,5
June 3-4,26,22,2.777777778,5.555555556,22.22222222,16.66666667,50,2.777777778,0,6
June 4-5,26,8,1.449275362,27.53623188,27.53623188,8.695652174,31.88405797,0,2.898550725,6
June 4-5,26,9,4.545454545,4.545454545,31.81818182,22.72727273,36.36363636,0,0,6
June 4-5,26,10,9.090909091,9.090909091,36.36363636,36.36363636,9.090909091,0,0,3
June 4-5,26,11,2.083333333,8.333333333,6.25,18.75,47.91666667,16.66666667,0,6
June 4-5,26,12,0,0,25,21.42857143,53.57142857,0,0,6
June 4-5,26,13,0,5.882352941,0,35.29411765,41.17647059,17.64705882,0,1
June 4-5,26,14,0,28.57142857,21.42857143,42.85714286,7.142857143,0,0,3
June 4-5,26,15,8.333333333,8.333333333,25,50,8.333333333,0,0,3
June 4-5,26,16,6.25,14.58333333,43.75,10.41666667,16.66666667,8.333333333,0,5
June 4-5,26,17,0,5.714285714,48.57142857,28.57142857,17.14285714,0,0,5
June 4-5,26,18,0,5.882352941,23.52941176,52.94117647,17.64705882,0,0,3
June 4-5,26,19,0,0,0,26.66666667,73.33333333,0,0,4
June 5-6,30,7,2.307692308,10.76923077,10.76923077,10,52.30769231,3.076923077,10.76923077,6
June 5-6,30,8,0.81300813,1.62601626,56.09756098,9.756097561,20.32520325,0,11.38211382,5
June 5-6,30,9,0,0,0,37.5,62.5,0,0,4
June 5-6,30,10,0,10,30,60,0,0,0,3
June 5-6,30,11,0,22.5,12.5,5,22.5,0,37.5,6
June 5-6,30,12,0,10.52631579,31.57894737,36.84210526,21.05263158,0,0,1
June 5-6,30,13,0,0,35.29411765,23.52941176,41.17647059,0,0,6
June 6-7,47,1,0,7.792207792,12.98701299,14.28571429,33.76623377,24.67532468,6.493506494,6
June 6-7,47,2,0,4.273504274,74.35897436,12.82051282,2.564102564,0,5.982905983,7
June 6-7,47,3,2.702702703,18.91891892,16.21621622,43.24324324,18.91891892,0,0,1
June 6-7,47,4,0,3.921568627,56.8627451,33.33333333,0,5.882352941,0,7
June 6-7,47,5,3.571428571,0,50,39.28571429,7.142857143,0,0,3
June 6-7,47,6,0,38.0952381,7.142857143,26.19047619,9.523809524,19.04761905,0,1
June 6-7,47,7,7.692307692,53.84615385,23.07692308,15.38461538,0,0,0,5
June 6-7,47,8,4.545454545,0,54.54545455,18.18181818,22.72727273,0,0,5
June 6-7,30,9,0,0,29.16666667,66.66666667,4.166666667,0,0,3
June 6-7,30,10,6.172839506,9.259259259,34.56790123,11.72839506,10.49382716,27.77777778,0,5
June 6-7,30,11,0,2.564102564,61.53846154,35.8974359,0,0,0,7
June 6-7,30,12,0,14.28571429,57.14285714,19.04761905,9.523809524,0,0,7
June 6-7,30,13,0,4.347826087,30.43478261,65.2173913,0,0,0,3
June 6-7,30,14,6.493506494,22.07792208,18.18181818,23.37662338,10.38961039,19.48051948,0,1
June 6-7,30,15,0,0,66.66666667,33.33333333,0,0,0,7
June 6-7,30,16,0,0,25,75,0,0,0,2
June 7-8,47,1,2.777777778,2.777777778,13.88888889,2.777777778,44.44444444,0,33.33333333,6
June 7-8,47,2,4.651162791,23.25581395,32.55813953,11.62790698,20.93023256,0,6.976744186,5
June 7-8,47,3,2.352941176,4.705882353,71.76470588,10.58823529,4.705882353,5.882352941,0,7
June 7-8,47,4,0.757575758,2.272727273,34.84848485,7.575757576,45.45454545,9.090909091,0,6
June 7-8,47,5,3.448275862,10.34482759,17.24137931,13.79310345,31.03448276,24.13793103,0,6
June 7-8,47,6,0,26.47058824,35.29411765,14.70588235,23.52941176,0,0,5
June 7-8,47,7,0,6.25,25,12.5,56.25,0,0,6
June 7-8,47,8,0,5,30,15,45,0,5,6
